"","seed","graph","dim","method","selector","elapsed_time_model","total_ram_model","peak_ram_model","elapsed_time_best","total_ram_best","peak_ram_best","f1","precision","recall","hamming_dist","best"
"410",23,"hub",750,"glasso","stars",17.224,85.8,98.7,386.664,-29.9,242.3,0.177384780278671,0.0980450236966825,0.929775280898876,12280,0
"510",23,"hub",1000,"glasso","stars",58.15,152.6,175.5,1255.579,-75.1,411.1,0.132302660918686,0.0711772232885477,0.936842105263158,23348,0
"6",23,"hub",100,"mb","stars",0.499,0.599999999999998,10.3,6.321,0.5,9.9,0.736842105263158,0.631578947368421,0.884210526315789,120,0
"7",23,"hub",250,"mb","stars",0.625,1.3,39,9.533,1.5,37.9,0.318250377073906,0.193755739210285,0.890295358649789,1808,0
"8",23,"hub",500,"mb","stars",1.169,3,45.2,21.262,3.3,58.3,0.248124639353722,0.143764627214978,0.905263157894737,5212,0
"9",23,"hub",750,"mb","stars",1.968,4.7,66.5,37.128,1.7,112.7,0.124056512483066,0.0666181667013095,0.900280898876405,18104,0
"10",23,"hub",1000,"mb","stars",3.123,6.9,100.2,60.049,1.2,166.8,0.108816120906801,0.0578700602813128,0.909473684210526,28304,0
"112",23,"cluster",100,"glasso","stars",0.391,1.6,2,6.628,0.600000000000001,11,0.528541226215645,0.637755102040816,0.451263537906137,446,0
"126",23,"cluster",250,"glasso","stars",0.919,9.6,11,19.706,0.399999999999999,58,0.359271523178808,0.442857142857143,0.302228412256267,1548,0
"1310",23,"cluster",500,"glasso","stars",5.171,38.1,43.8,116.98,-1.8,158.5,0.276131917272219,0.227754725680037,0.350603264726757,5180,0
"141",23,"cluster",750,"glasso","stars",17.09,85.8,98.7,379.107,-30.9,241.6,0.199459093982421,0.131971368923352,0.408210332103321,14208,0
"151",23,"cluster",1000,"glasso","stars",56.974,152.6,175.5,1316.883,-72,554.9,0.247828784119107,0.220779220779221,0.28243195475433,9700,0
"161",23,"cluster",100,"mb","stars",0.498,0.599999999999998,10.3,6.247,0.5,9.9,0.526558891454965,0.730769230769231,0.411552346570397,410,0
"171",23,"cluster",250,"mb","stars",0.631,1.3,39.2,9.549,1.6,37.9,0.34934036939314,0.281223449447749,0.46100278551532,2466,0
"181",23,"cluster",500,"mb","stars",1.373,3.6,45.1,24.852,4.1,57.6,0.212935668458471,0.140890316659018,0.435770049680625,9078,0
"191",23,"cluster",750,"mb","stars",1.9,4.7,64.9,36.809,0.399999999999999,111.2,0.159242667568253,0.0974852530270102,0.43450184501845,19894,0
"201",23,"cluster",1000,"mb","stars",3.59699999999999,7.49999999999999,100,66.629,2.7,166,0.126170527353376,0.0733062253021018,0.452456698480028,35460,0
"21",23,"band",100,"glasso","stars",0.391,1.6,2,6.321,0.400000000000002,10.4,0.7,0.541436464088398,0.98989898989899,168,0
"22",23,"band",250,"glasso","stars",0.879,9.5,10.9,18.28,0.5,58.2,0.75625,0.618925831202046,0.971887550200803,312,0
"23",23,"band",500,"glasso","stars",3.751,38.2,43.9,79.746,-3.80000000000001,118.6,0.396454472199839,0.248108925869894,0.985971943887776,2996,0
"24",23,"band",750,"glasso","stars",17.497,85.8,98.7,381.468,-29,243.8,0.21965062283482,0.123456790123457,0.994659546061415,10587,0
"25",23,"band",1000,"glasso","stars",49.9580000000001,152.6,175.5,1121.483,-77.6,411.7,0.244736190240277,0.139646643109541,0.988988988988989,12196,0
"261",23,"band",100,"mb","stars",0.496,0.5,10.1,6.121,0.399999999999999,10.1,0.808333333333333,0.687943262411348,0.97979797979798,92,0
"271",23,"band",250,"mb","stars",0.584,1.1,39,8.596,1.5,38.3,0.548066298342542,0.378048780487805,0.995983935742972,818,0
"281",23,"band",500,"mb","stars",0.898,2.4,45.6,15.719,2.3,59.3,0.266414482572278,0.153966271080575,0.987975951903808,5430,0
"291",23,"band",750,"mb","stars",1.662,4.3,68.5,31.576,3.1,87.3,0.176386913229019,0.0967867828801873,0.993324432576769,13896,0
"301",23,"band",1000,"mb","stars",2.37599999999999,5.7,101.2,46.042,-0.199999999999989,128.9,0.101818181818182,0.0536543236532441,0.994994994994995,35074,0
"311",23,"scale-free",100,"glasso","stars",0.407,1.6,2,6.869,0.699999999999999,11.5,0.541871921182266,0.528846153846154,0.555555555555556,186,0
"321",23,"scale-free",250,"glasso","stars",1.02,9.5,11,22.277,0.899999999999999,58.1,0.262626262626263,0.182242990654206,0.469879518072289,1314,0
"331",23,"scale-free",500,"glasso","stars",6.022,38.2,43.9,137.083,-0.899999999999991,158.1,0.087378640776699,0.0500732064421669,0.342685370741483,7144,0
"341",23,"scale-free",750,"glasso","stars",20.529,85.8,98.7,459.874,-28.7,323.4,0.0814834160355184,0.0506493506493507,0.208277703604806,7034,0
"351",23,"scale-free",1000,"glasso","stars",67.1759999999999,152.6,175.5,1514.895,-71,551.4,0.0493395917476258,0.0276892918402352,0.226226226226226,17418,0
"36",23,"scale-free",100,"mb","stars",0.523,0.699999999999999,11.2,6.578,0.599999999999998,10.9,0.545454545454545,0.545454545454545,0.545454545454545,180,0
"37",23,"scale-free",250,"mb","stars",0.693999999999999,1.5,38.8,10.944,1.7,37.4,0.271016311166876,0.197080291970803,0.433734939759036,1162,0
"38",23,"scale-free",500,"mb","stars",1.727,4.1,44.5,31.021,4.6,75.8,0.0953006901084456,0.056996855345912,0.290581162324649,5506,0
"39",23,"scale-free",750,"mb","stars",2.663,5.8,65.2,50.446,1.2,111.2,0.0560104426248962,0.0307371711383173,0.315086782376502,15910,0
"40",23,"scale-free",1000,"mb","stars",4.827,8.7,99.2,88.136,2.5,165.1,0.0380939469938318,0.0204304202413843,0.281281281281281,28382,0
"411",23,"MB",100,"glasso","stars",0.414,1.7,2,6.662,0.399999999999999,10.7,0.658064516129032,0.595330739299611,0.735576923076923,318,0
"421",23,"MB",250,"glasso","stars",0.964,9.6,11,20.367,0.200000000000003,58.5,0.616309012875537,0.520289855072464,0.755789473684211,894,0
"431",23,"MB",500,"glasso","stars",4.542,38.2,43.9,102.909,-2.2,120.6,0.52997393570808,0.427170868347339,0.697940503432494,2164,0
"441",23,"MB",750,"glasso","stars",18.14,85.9,98.7,414.859,-29.2,246.6,0.21048329416573,0.120566545709938,0.827974276527331,15454,0
"451",23,"MB",1000,"glasso","stars",59.5700000000001,152.6,175.5,1354.088,-73.6,418,0.156609195402299,0.0862446743761412,0.850540216086435,30524,0
"461",23,"MB",100,"mb","stars",0.507,0.599999999999998,9.9,6.296,0.400000000000002,9.4,0.706122448979592,0.613475177304965,0.831730769230769,288,0
"471",23,"MB",250,"mb","stars",0.623999999999999,1.2,39.7,9.461,1.7,38.5,0.4920049200492,0.347523892267593,0.842105263157895,1652,0
"481",23,"MB",500,"mb","stars",1.132,3,47,20.723,3.2,60.1,0.365212821860221,0.237039563437926,0.795194508009153,4832,0
"491",23,"MB",750,"mb","stars",2.089,4.9,93.8,38.273,2.2,89.1,0.176603119584055,0.098970473970474,0.819131832797428,19004,0
"501",23,"MB",1000,"mb","stars",3.398,7.2,79.4,65.368,1.8,133.4,0.150271277470269,0.0826850009046499,0.822929171668667,31010,0
"113",51,"hub",100,"glasso","stars",0.409,1.6,2,6.85,0.600000000000001,11,0.620689655172414,0.487951807228916,0.852631578947368,198,0
"211",51,"hub",250,"glasso","stars",0.943,9.6,11,20.066,0.700000000000003,58,0.51063829787234,0.372815533980583,0.810126582278481,736,0
"312",51,"hub",500,"glasso","stars",4.505,38.1,43.8,101.993,-2.8,158.2,0.478938257357184,0.329888712241653,0.873684210526316,1806,0
"412",51,"hub",750,"glasso","stars",18.766,85.8,98.7,411.119,-29.2,242.4,0.146812900423499,0.0795574908791338,0.949438202247191,15714,0
"511",51,"hub",1000,"glasso","stars",59.335,152.6,175.5,1494.959,-74.7,553.3,0.11971971971972,0.0639116494478091,0.94421052631579,26382,0
